Name,P_CP,classification,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius
6525946,99.06498638,Tess,82.558548,-42.697946,2459223.146,22.0819969,3.073,1019,2.28729,5.94816,435,8.2731,4036.3,4.65,0.66
49079670,98.62065399,Tess,161.156925,6.333475,2460250.965,32.429738,4.419,988,2.6538,9.85942,493,9.1352,5271,4.56,0.83
236934937,98.59009616,Tess,205.846632,39.248789,2460397.023,17.7456043,2.675,1203,2.44767,8.44389,474,8.1532,4526,4.57,0.72
14029793,98.5276476,Kepler,290.73447,45.297791,2454974.178,13.2511214,4.996,267,1.98,123.32,850,15.085,5850,4.297,1.217
7017372,98.42042405,Tess,82.558548,-42.697946,2458480.944,12.7187255,3.1582562,1144.178907,2.5924633,12.2599233,477.2453303,8.2731,4036.3,4.65,0.661076
294594423,98.40534054,Tess,281.767709,54.910682,2459660.641,3.8776815,1.0297542,1077.910551,1.365807,14.7343811,499.6923767,11.9589,3340,4.81708,0.410465
22705558,98.13218253,Tess,180.844348,49.251226,2460364.819,21.4904723,3.802,985,2.43328,21.9904,603,10.0326,5342,4.57,0.83
297457992,97.93646693,Tess,268.24441,-48.563082,2459383.797,17.7424733,3.082,880,2.00179,12.8216,527,9.8496,4926.2,4.67,0.69
126982221,97.76306061,Kepler,292.16617,38.739052,2454968.747,17.50441726,4.2585,725,3.56,108.78,824,13.926,5815,4.16,1.329
279327604,97.72926445,Tess,145.646473,-19.235699,2458518.998,6.2509468,1.1882969,770.1195597,1.1306823,8.76241,438.8091174,9.75311,3479,4.8309,0.395397
